"region","id","SampleHabitat","Latitude","Longitude","ept_rich","log_ec","log_turb","slope","scale_temp","av_temp"
"NSW","-36.347645 149.98355 NSW","Riffle",-36.347645,149.98355,8,4.969813299576,3.4904285153901,0.0347204126954366,0.0172154092552937,154
"NSW","-36.3552 149.9855 NSW","Edge",-36.3552,149.9855,4,5.1149953094205,2.04122032885964,0.00560228111186777,0.100226202318724,154
"NSW","-36.3552 149.9855 NSW","Riffle",-36.3552,149.9855,8,5.1149953094205,2.04122032885964,0.00560228111186777,0.100226202318724,154
"NSW","-36.3558 148.2015 NSW","Edge",-36.3558,148.2015,13,2.7408400239252,1.56861591791385,0.0711968065287398,-0.870833586472025,124
"NSW","-36.3558 148.2015 NSW","Riffle",-36.3558,148.2015,10,2.7408400239252,1.56861591791385,0.0711968065287398,-0.870833586472025,124
"NSW","-36.36872 149.87358 NSW","Edge",-36.36872,149.87358,8,6.53233429222235,2.96010509591084,0.00712506400788862,-0.150572761364674,149
"NSW","-36.3822 148.1774 NSW","Edge",-36.3822,148.1774,10.4,2.85647020622048,-0.174353387144778,0.0349041557739709,-0.720940412163202,124
"NSW","-36.3822 148.1774 NSW","Riffle",-36.3822,148.1774,12.6666666666667,3.15700042115011,0.896088024556636,0.0349041557739709,-0.720940412163202,124
"NSW","-36.386 148.4071 NSW","Edge",-36.386,148.4071,8,2.19722457733622,0.336472236621213,0.101918655794742,-0.523437979180436,50
"NSW","-36.386 148.4071 NSW","Riffle",-36.386,148.4071,5,2.19722457733622,0.336472236621213,0.101918655794742,-0.523437979180436,50
"NSW","-36.38659 148.18146 NSW","Edge",-36.38659,148.18146,7,2.19722457733622,0.916290731874155,0.0789945081181032,-0.552190207442575,124
"NSW","-36.38659 148.18146 NSW","Riffle",-36.38659,148.18146,15,2.19722457733622,0.916290731874155,0.0789945081181032,-0.552190207442575,124
"NSW","-36.3995 149.9047 NSW","Edge",-36.3995,149.9047,3,6.2363695902037,2.45100509811232,0.0154815298053456,0.485292334093971,151
"NSW","-36.42343029 148.9131894 NSW","Edge",-36.42343029,148.9131894,2,6.32435896238131,0.510825623765991,0.0219991959992923,-0.344542023658667,109
"NSW","-36.42432 148.5742 NSW","Edge",-36.42432,148.5742,2,5.75890177387728,3.03495298670727,0.0508179155312074,-0.0230789959796888,90
"NSW","-36.427 148.3744 NSW","Edge",-36.427,148.3744,6.5,2.19722457733622,0.832909122935104,0.0162676035840934,-0.720694867469001,50
"NSW","-36.427 148.3744 NSW","Riffle",-36.427,148.3744,8,2.19722457733622,0.832909122935104,0.0162676035840934,-0.720694867469001,50
"NSW","-36.4321 148.3198 NSW","Edge",-36.4321,148.3198,4,1.38629436111989,0.741937344729377,0.0309962253063877,-0.871205732107178,47
"NSW","-36.4321 148.3198 NSW","Riffle",-36.4321,148.3198,6,1.38629436111989,0.741937344729377,0.0309962253063877,-0.871205732107178,47
"NSW","-36.4353 150.0092 NSW","Edge",-36.4353,150.0092,5,5.15905529921453,2.26176309847379,0.0171044755434691,-0.102620088440193,155
"NSW","-36.43734 148.44148 NSW","Edge",-36.43734,148.44148,10,2.83321334405622,1.06471073699243,0.120645500411265,-0.122817568141088,80
"NSW","-36.43734 148.44148 NSW","Riffle",-36.43734,148.44148,15,2.83321334405622,1.06471073699243,0.120645500411265,-0.122817568141088,80
"NSW","-36.4453 148.6391 NSW","Edge",-36.4453,148.6391,5.5,4.28358656186063,2.96010509591084,0.00991659568120699,-0.377851324159013,100
"NSW","-36.4453 148.6391 NSW","Riffle",-36.4453,148.6391,4,1.38629436111989,0.955511445027436,0.00991659568120699,-0.377851324159013,100
"NSW","-36.45751 148.73833 NSW","Edge",-36.45751,148.73833,5,5.87211778947542,-2.30258509299405,0.034163803994796,-0.125246488118169,98
"NSW","-36.4576 148.2923 NSW","Riffle",-36.4576,148.2923,9,1.38629436111989,0,0.0262534071359897,-1.05212168398741,47
"NSW","-36.46233 148.79705 NSW","Edge",-36.46233,148.79705,2,6.49677499018586,-1.6094379124341,0.0260421076020995,-0.123517333934246,111
"NSW","-36.4647 149.7029 NSW","Edge",-36.4647,149.7029,7,3.19867311755068,0.048790164169432,0.0737873661172464,-0.240886939078912,137
"NSW","-36.4647 149.7029 NSW","Riffle",-36.4647,149.7029,13,2.484906649788,0.470003629245736,0.0737873661172464,-0.240886939078912,137
"NSW","-36.4648 148.1217 NSW","Edge",-36.4648,148.1217,11,3.2188758248682,-2.30258509299405,0.110521677149225,-0.617106157228976,108
